code,level_1,level_2,level_3,level_4,level_5,param_1
СТ 10 09 10 20 20,,,,,Сульфатостойкий портландцемент с минеральными добавками,
СТ 10 09 10 20 30,,,,,Сульфатостойкий шлакопортландцемент,
СТ 10 09 10 20 40,,,,,Пуццолановый портландцемент,
СТ 10 09 10 30,,,,Глиноземистые цементы,,
СТ 10 09 10 30 10,,,,,Высокоглиноземистый цемент I (ВГЦ I),
СТ 10 09 10 30 20,,,,,Высокоглиноземистый цемент II (ВГЦ II),
СТ 10 09 10 30 30,,,,,Высокоглиноземистый цемент III (ВГЦ III),
СТ 10 09 10 30 40,,,,,Глиноземистый цемент (ГЦ),
СТ 10 09 20,,,Известь,,,
СТ 10 09 20 10,,,,Известь гашеная (гидратная),,
СТ 10 09 20 20,,,,Известь негашеная,,
СТ 10 09 20 30,,,,Мел комовый,,
СТ 10 09 20 40,,,,Мел молотый,,
СТ 10 09 30,,,Шлак,,,
СТ 10 09 30 10,,,,Шлак доменный,,
СТ 10 09 40,,,Гипс,,,
СТ 10 09 40 10,,,,Ангидритовое вяжущее,,
СТ 10 09 40 20,,,,Высокообжиговый гипс,,
СТ 10 09 40 30,,,,Гипсовое вяжущее,,
СТ 10 10,,"Галька, гравий, щебень, камень, пески, стекло",,,,
СТ 10 10 10,,,Галька,,,08.12.12.120
СТ 10 10 20,,,Гравий,,,
СТ 10 10 20 10,,,,Гравий аглопоритовый,,08.12.12.132
СТ 10 10 20 20,,,,Гравий гранитный,,08.12.12.133
СТ 10 10 20 30,,,,Гравий керамзитовый,,08.12.12.130
СТ 10 10 20 40,,,,Гравий шунгизитовый,,08.12.12.131
СТ 10 10 30,,,Песок природный,,,
СТ 10 10 30 10,,,,Песок баритовый,,
СТ 10 10 30 20,,,,Песок каолиновый,,08.12.11.130
СТ 10 10 30 30,,,,Песок кварцевый,,08.12.11.120
СТ 10 10 30 40,,,,Песок кремнистый,,08.12.11.110
СТ 10 10 31,,,Песок дробленый,,,
СТ 10 10 31 10,,,,Песок аглопоритовый,,
СТ 10 10 31 20,,,,Песок керамзитовый,,
СТ 10 10 31 30,,,,Песок шунгизитовый,,
СТ 10 10 32,,,Песок шлаковый,,,
СТ 10 10 40,,,Щебень,,,08.12.12.140
СТ 10 10 40 10,,,,Щебень аглопоритовый,,08.12.12.140
СТ 10 10 40 20,,,,Щебень гравийный,,08.12.12.140
СТ 10 10 40 30,,,,Щебень гранитный,,08.12.12.140
СТ 10 10 40 40,,,,Щебень из бетона,,08.12.12.140
СТ 10 10 40 50,,,,Щебень из кирпича,,08.12.12.140
СТ 10 10 40 60,,,,Щебень из природного камня,,08.12.12.140
СТ 10 10 40 70,,,,Щебень керамзитовый,,08.12.12.140
СТ 10 10 40 80,,,,Щебень керамический,,08.12.12.140
СТ 10 10 40 90,,,,Щебень шлакопемзовый,,08.12.12.140
СТ 10 10 50,,,Камень,,,
СТ 10 10 50 10,,,,Ангидрит,,08.11.20.130
СТ 10 10 50 20,,,,Гипс,,08.11.20.120
СТ 10 10 50 30,,,,Гранит,,08.11.12.151
СТ 10 10 50 40,,,,Известняк,,08.11.11.190
СТ 10 10 50 50,,,,Камень бетонный,,
СТ 10 10 50 60,,,,Камень бутовый,,08.12.12.140
СТ 10 10 50 70,,,,Мрамор,,08.11.11.110
СТ 10 10 50 80,,,,Сланец,,08.11.40
СТ 10 10 60,,,Стекло,,,
СТ 10 10 60 10,,,,Стекло армированное,,
СТ 10 10 60 20,,,,Стекло закаленное,,
СТ 10 10 60 30,,,,Стекло листовое,,
СТ 10 10 60 40,,,,Трехслойное стекло (триплекс),,
,,,,,,
СТ 10 12,,Материалы кровельного покрытия,,,,
СТ 10 12 10,,,Черепичные материалы,,,
СТ 10 12 10 10,,,,Гибкая черепица,,
СТ 10 12 10 20,,,,Керамическая черепица,,
СТ 10 12 10 30,,,,Композитная черепица,,
СТ 10 12 10 40,,,,Кровельный сланец,,
СТ 10 12 10 50,,,,Металлочерепица,,
СТ 10 12 10 60,,,,Цементно-песчаная черепица,,
СТ 10 12 20,,,Листовые материалы,,,
СТ 10 12 20 10,,,,Кровельная медь,,
СТ 10 12 20 20,,,,Кровельная сталь,,
СТ 10 12 20 30,,,,Кровельный алюминий,,
СТ 10 12 20 40,,,,Листы из титан-цинка,,
СТ 10 12 30,,,Профнастил,,,
СТ 10 12 30 10,,,,Профнастил из кровельной стали,,
СТ 10 12 40,,,Битумный профиль,,,
СТ 10 12 40 10,,,,Ондулин,,
СТ 10 12 50,,,Композиционные материалы,,,
СТ 10 12 50 10,,,,Лист волнистый хризотилцементный с симметричными кромками,,
СТ 10 12 50 20,,,,Лист волнистый хризотилцементный с асимметричными кромками,,
СТ 10 13,,Отделочные материалы,,,,
СТ 10 13 10,,,Отделочные материалы фасадов,,,
СТ 10 13 10 10,,,,"Камень, плитка",,
СТ 10 13 10 10 10,,,,,Камень искусственный,
СТ 10 13 10 10 20,,,,,Камень природный,
СТ 10 13 10 10 30,,,,,Керамогранит,
СТ 10 13 10 10 40,,,,,Клинкерная плитка,
СТ 10 13 10 10 50,,,,,Клинкерный кирпич,
СТ 10 13 10 10 60,,,,,Плитка керамическая фасадная,23.31.10.123
СТ 10 13 10 20,,,,Сайдинг,,
СТ 10 13 10 20 10,,,,,Сайдинг виниловый,
СТ 10 13 10 20 20,,,,,Сайдинг деревянный,
СТ 10 13 10 20 30,,,,,Сайдинг металлический,
СТ 10 13 10 20 40,,,,,Сайдинг цементный,
СТ 10 13 10 30,,,,Плиты и листы хризотилцементные,,
СТ 10 13 10 30 10,,,,,Лист плоский хризотилцементный непрессованный (ЛПН),
СТ 10 13 10 30 20,,,,,Лист плоский хризотилцементный прессованный (ЛПП),
СТ 10 13 10 30 30,,,,,Плита прессованная фасадная с гладкой поверхностью без защитно-декоративного покрытия (ППФГО),
СТ 10 13 10 30 40,,,,,Плита прессованная фасадная с рельефной поверхностью без защитно-декоративного покрытия (ППФРО),
СТ 10 13 10 30 50,,,,,Плита прессованная фасадная с гладкой поверхностью с лакокрасочным защитно-декоративным покрытием (ППФГЛК),
СТ 10 13 10 30 60,,,,,Плита прессованная фасадная с рельефной поверхностью с лакокрасочным защитно-декоративным покрытием (ППФРЛК),
СТ 10 13 10 30 70,,,,,Плита прессованная фасадная с защитно-декоративным покрытием декоративной крошкой из природного камня (ППФДК),
СТ 10 13 15,,,Листы гипсокартона,,,
СТ 10 13 15 10,,,,Гипсокартонный лист обычный ГКЛ,,
СТ 10 13 15 20,,,,Гипсокартонный лист влагостойкий ГКЛВ,,
СТ 10 13 15 30,,,,Гипсокартонный лист (против открытого пламени) ГКЛО,,
СТ 10 13 15 40,,,,Гипсокартонный лист влагостойкий (против открытого пламени) ГКЛВО,,
СТ 10 13 20,,,Листы гипсоволокнистые,,,
СТ 10 13 20 10,,,,Гипсоволокнистый лист обычный ГВЛ,,
СТ 10 13 20 20,,,,Гипсоволокнистый лист влагостойкий ГВЛВ,,
СТ 10 13 20 30,,,,Гипсофибровый лист (ГФЛ),,
СТ 10 13 25,,,Стекломагниевый лист,,,
СТ 10 13 30,,,Штукатурные растворы,,,
СТ 10 13 30 15,,,,Цементно-известковая штукатурка,,
СТ 10 13 30 20,,,,Гипсовая штукатурка,,
СТ 10 13 30 25,,,,Глиняная штукатурка,,
СТ 10 13 30 30,,,,Глиноизвестковая штукатурка,,
СТ 10 13 30 35,,,,Минеральная штукатурка,,
СТ 10 13 30 40,,,,Акриловая штукатурка,,
СТ 10 13 30 45,,,,Силикатная штукатурка,,
СТ 10 13 30 50,,,,Известковая штукатурка,,
СТ 10 13 30 55,,,,Штукатурка баритовая,,
СТ 10 13 30 60,,,,Известково-гипсовая штукатурка,,
СТ 10 13 35,,,Краски,,,
СТ 10 13 35 10,,,,Акриловая краска,,
СТ 10 13 35 15,,,,Латексная краска,,
СТ 10 13 35 20,,,,Водоэмульсионная краска,,
СТ 10 13 35 25,,,,Водно-дисперсионная краска,,
СТ 10 13 35 30,,,,Силиконовая краска,,
СТ 10 13 35 35,,,,Силикатная краска,,
СТ 10 13 35 40,,,,Полиуретановая краска,,
СТ 10 13 35 45,,,,Поливинилацетатная краска,,
СТ 10 13 35 50,,,,Алкидная масляная краска,,
СТ 10 13 35 55,,,,Алкидная эмалевая краска,,
СТ 10 13 35 60,,,,Казеиновая краска,,
СТ 10 13 35 65,,,,Декстринированная краска,,
СТ 10 13 35 70,,,,Клеевая краска,,
СТ 10 13 40,,,Обои,,,
СТ 10 13 40 10,,,,Флизелиновые,,
СТ 10 13 40 20,,,,Акриловые,,
СТ 10 13 40 30,,,,Текстильные,,
СТ 10 13 40 40,,,,Иризированное стекло,,
СТ 10 13 40 50,,,,Бумажные,,
СТ 10 13 40 60,,,,Натуральные,,
СТ 10 13 40 70,,,,Виниловые,,
СТ 10 13 45,,,Облицовочные материалы внутренних стен,,,
СТ 10 13 45 10,,,,Панели стеновые МДФ,,16.21.14.000
СТ 10 13 45 12,,,,Панели стеновые ДВП,,16.21.14.000
СТ 10 13 45 14,,,,Панели стеновые ДСП,,16.21.13.000
СТ 10 13 45 16,,,,Панели стеновые ПВХ,,
СТ 10 13 45 18,,,,Панели стеновые стеклянные,,23.19.12.150
СТ 10 13 45 20,,,,Панели стеновые из каменного шпона,,
СТ 10 13 45 22,,,,"Панели стеновые деревянные, дуб",,
СТ 10 13 45 24,,,,"Панели стеновые деревянные, клен",,
СТ 10 13 45 26,,,,"Панели стеновые деревянные, кедр",,
СТ 10 13 45 28,,,,"Панели стеновые деревянные, ольха",,
СТ 10 13 45 30,,,,"Панели стеновые деревянные, бамбук",,
СТ 10 13 45 32,,,,Панели стеновые пробковые,,
СТ 10 13 45 34,,,,Панели деревянные фанерованные,,16.21.12.120
СТ 10 13 45 36,,,,Панели деревянные фанерованные из бамбука,,16.21.11.120
СТ 10 13 45 38,,,,Керамическая плитка,,23.31.10.121
СТ 10 13 45 40,,,,Стеклянная плитка,,
СТ 10 13 45 42,,,,Поливинилхлоридная плитка,,
СТ 10 13 45 44,,,,Полистирольная плитка,,
СТ 10 13 45 46,,,,Пластиковая плитка,,
СТ 10 13 45 48,,,,Минеральная плитка,,
СТ 10 13 45 50,,,,Плиты из природного камня,,
СТ 10 13 50,,,Отделка полов,,,
СТ 10 13 50 10,,,,Дощатое покрытие (окрашенное),,
СТ 10 13 50 12,,,,Ковролин,,13.93.19.120
СТ 10 13 50 13,,,,Ламинат,,22.23.11.000
СТ 10 13 50 14,,,,Ламинированный паркет,,
СТ 10 13 50 15,,,,Линолеум,,
СТ 10 13 50 15 10,,,,,Линолеум алкидный,
СТ 10 13 50 15 20,,,,,Линолеум натуральный,
СТ 10 13 50 15 30,,,,,Линолеум ПВХ,
СТ 10 13 50 15 40,,,,,Линолеум резиновый (релин),
СТ 10 13 50 16,,,,Мраморные плиты,,
СТ 10 13 50 17,,,,Паркет,,16.22.10.000
СТ 10 13 50 17 10,,,,,Паркетные доски и щиты,
СТ 10 13 50 17 20,,,,,Штучный и наборный паркет,
СТ 10 13 50 18,,,,Плитка кафельная,,
СТ 10 13 50 19,,,,Плитка керамическая,,23.31.10.122
СТ 10 13 50 20,,,,Плитка керамогранитная,,
СТ 10 13 50 21,,,,Плиты природного камня,,
СТ 10 13 50 22,,,,Пол из шпона пробкового дерева,,
СТ 10 13 50 23,,,,Пол из пробкового агломерата,,
СТ 10 13 50 24,,,,Пол мозаично-бетонный шлифованный,,
СТ 10 13 50 25,,,,Пол цементно-бетонный шлифованный,,
СТ 10 13 50 26,,,,Пол латексноцементно-бетонный,,
СТ 10 13 50 27,,,,Пол поливинилацетатцементно-бетонный,,
СТ 10 13 50 28,,,,Покрытие полименое наливное,,
СТ 10 13 50 40,,,,Стяжка цементно-песчанная,,
СТ 10 13 50 50,,,,Щиты деревянные однослойные,,
СТ 10 13 50 50 10,,,,,"Щиты деревянные однослойные, береза",
СТ 10 13 50 50 20,,,,,"Щиты деревянные однослойные, сосна",
СТ 10 13 50 50 30,,,,,"Щиты деревянные однослойные, осина",
СТ 10 13 50 50 40,,,,,"Щиты деревянные однослойные, лиственница",
СТ 10 13 55,,,Отделка потолков,,,
СТ 10 13 55 01,,,,Побелка известковая,,
СТ 10 13 55 02,,,,Побелка меловая,,
СТ 10 13 55 04,,,,Обои,,
СТ 10 13 55 05,,,,Дерево,,
СТ 10 13 55 06,,,,Панели потолочные алюминиевые,,
СТ 10 13 55 07,,,,Панели потолочные на минеральном волокне,,
СТ 10 13 55 08,,,,Панели стекловолокнистые,,
СТ 10 13 55 09,,,,Панели ПВХ,,
СТ 10 13 55 10,,,,Панели МДФ,,
СТ 10 13 55 12,,,,Панели стеклянные,,
СТ 10 13 55 13,,,,Панели из пенополистерола,,
СТ 10 13 55 14,,,,Панели ДВП,,
СТ 10 14,,Теплоизоляционные материалы,,,,
СТ 10 14 10,,,Утеплители органические,,,
СТ 10 14 10 01,,,,Эковата,,
СТ 10 14 10 02,,,,Плиты из пенопласта на основе полистирола,,
СТ 10 14 10 03,,,,Плиты из пенопласта на основе полиуретана,,
СТ 10 14 10 04,,,,Плиты из пенопласта на основе резольных фенолоформальдегидных смол,,
СТ 10 14 10 05,,,,Плиты из перлитопластобетона,,
СТ 10 14 10 06,,,,Цилиндры и полуцилиндры из пенопласта резопен,,
СТ 10 14 10 07,,,,Цилиндры и полуцилиндры из пенопласта ФРП-1,,
СТ 10 14 10 08,,,,Пенополивинилхлорид (ППВХ),,
СТ 10 14 10 09,,,,Арболитовый утеплитель,,
СТ 10 14 10 10,,,,Вспененный полиэтилен,,
СТ 10 14 10 12,,,,Фибролитовые плиты на портландцементе,,
СТ 10 14 10 13,,,,Торфяные плиты,,
СТ 10 14 10 14,,,,Сотопластовый утеплитель,,
СТ 10 14 20,,,Утеплители неорганические,,,
СТ 10 14 20 01,,,,Базальтовые маты,,
СТ 10 14 20 02,,,,Блоки из пеностекла,,
СТ 10 14 20 03,,,,Блоки из ячеистого бетона,,
СТ 10 14 20 04,,,,Войлок из базальтовой ваты,,
СТ 10 14 20 05,,,,Войлок из минеральной ваты,,
СТ 10 14 20 06,,,,Войлок из стекловаты,,
СТ 10 14 20 07,,,,Зернистые теплоизоляционные материалы,,
СТ 10 14 20 07 01,,,,,Асбестомагнезиальный порошок,
СТ 10 14 20 07 02,,,,,Асбозурит,
СТ 10 14 20 07 03,,,,,Вспученный вермикулит,
СТ 10 14 20 07 04,,,,,Вспученный перлитовый песок,
СТ 10 14 20 07 05,,,,,Диатомитовая обожженная крошка,
СТ 10 14 20 07 06,,,,,Совелитовый порошок,
СТ 10 14 20 08,,,,Керамическая вата,,
СТ 10 14 20 09,,,,Кирпич диатомитовый,,
СТ 10 14 20 10,,,,Кирпич пенодиатомитовый,,
СТ 10 14 20 12,,,,Маты из минеральной ваты,,
СТ 10 14 20 13,,,,Маты из стеклянной ваты,,
СТ 10 14 20 14,,,,Минераловатная плита,,
СТ 10 14 20 15,,,,Минеральная вата,,
СТ 10 14 20 16,,,,Минераловатная армированная самонесущая плита,,
СТ 10 14 20 17,,,,Муллитокремнеземистые материалы,,
СТ 10 14 20 17 01,,,,,Муллитокремнеземистая вата,
СТ 10 14 20 17 02,,,,,Муллитокремнеземистые плиты,
СТ 10 14 20 17 03,,,,,Муллитокремнеземистые хромсодержащие плиты,
СТ 10 14 20 17 04,,,,,Муллитокремнеземистый войлок,
СТ 10 14 20 17 05,,,,,Муллитокремнеземистый рулонный материал,
СТ 10 14 20 17 06,,,,,Муллитокремнеземистый фетр,
СТ 10 14 20 17 07,,,,,Муллитокремнеземистый хромсодержащий войлок,
СТ 10 14 20 17 08,,,,,Муллитокремнеземистый хромсодержащий рулонный материал,
СТ 10 14 20 18,,,,Плита из стеклянной и базальтовой ваты,,
СТ 10 14 20 19,,,,Плиты асбестовермикулитовые,,
СТ 10 14 20 20,,,,Плиты вулканитовые,,
СТ 10 14 20 21,,,,Плиты диатомитовые,,
СТ 10 14 20 22,,,,Плиты известково-кремнеземистые,,
СТ 10 14 20 23,,,,Плиты перлитобитумные,,
СТ 10 14 20 24,,,,Плиты перлитокерамические,,
СТ 10 14 20 25,,,,Плиты перлитофосфогелевые,,
СТ 10 14 20 26,,,,Плиты перлитоцементные,,
СТ 10 14 20 27,,,,Плиты совелитовые,,
СТ 10 14 20 28,,,,Полуцилиндры и сегменты совелитовые,,
СТ 10 14 20 29,,,,Полуцилиндры и сегменты вулканитовые,,
СТ 10 14 20 30,,,,Полуцилиндры и сегменты перлитоцементные,,
СТ 10 14 20 31,,,,Полуцилиндры и сегменты перлитофосфогелевые,,
СТ 10 14 20 32,,,,Полуцилиндры и сегменты асбестовермикулитовые,,
СТ 10 14 20 33,,,,Полуцилиндры и сегменты известково-кремнеземистые,,
СТ 10 14 20 34,,,,Стекловата,,
СТ 10 14 30,,,Утеплители смешанные,,,
СТ 10 15,,Гидроизоляционные материалы,,,,
СТ 10 15 10,,,Мастика,,,
СТ 10 15 20,,,Рулонный материал,,,
СТ 10 15 20 10,,,,Рубероид,,
СТ 10 15 20 20,,,,Стеклорубероид,,
СТ 10 15 20 30,,,,Пергамин,,
СТ 10 15 20 40,,,,Толь,,
СТ 10 15 20 50,,,,Гидроизол,,
СТ 10 15 20 60,,,,Бризол,,
СТ 10 15 20 70,,,,Гидробутил,,
СТ 10 15 30,,,Порошок,,,
СТ 10 15 40,,,Пленка,,,
СТ 10 15 40 10,,,,Полиэтиленовая пленка,,
СТ 10 15 40 20,,,,Полипропиленовая пленка,,
СТ 10 15 40 30,,,,Гидроизоляционная мембрана,,
СТ 10 15 50,,,Окрасочная гидроизоляция,,,
СТ 10 15 50 10,,,,Битумная смесь,,
СТ 10 15 50 20,,,,Каучуковый гель,,
СТ 10 15 50 30,,,,Силиконовый гель,,
СТ 10 15 50 40,,,,Акриловая взвесь,,
СТ 10 15 50 50,,,,Эпоксидные составы,,
СТ 10 15 50 60,,,,Гидроизоляционный лак,,
СТ 10 15 60,,,Жидкая гидроизоляция,,,
СТ 10 15 60 10,,,,Жидкое стекло,,
СТ 10 15 60 20,,,,Жидкая резина,,
СТ 10 15 70,,,Проникающая гидроизоляция,,,
СТ 10 15 70 10,,,,Песчано-цементный состав,,
СТ 10 15 70 20,,,,Пенетрон,,
СТ 10 15 80,,,Монтируемая гидроизоляция,,,
СТ 10 15 80 10,,,,Бентонитовые маты,,
СТ 10 16,,Материалы труб,,,,
СТ 10 16 05,,,Асбестоцемент,,,
СТ 10 16 10,,,Медь,,,
СТ 10 16 15,,,Латунь,,,
СТ 10 16 20,,,Сталь коррозионно-стойкая,,,
СТ 10 16 25,,,Хризотилцемент,,,
СТ 10 16 30,,,Сталь,,,
СТ 10 16 31,,,Сталь оцинкованная,,,
СТ 10 16 35,,,Нержавеющая сталь,,,
СТ 10 16 40,,,Чугун,,,
СТ 10 16 45,,,Композитные материалы,,,
СТ 10 16 45 10,,,,Труба стеклобазальтокомпозитная,,
СТ 10 16 45 20,,,,Труба стеклокомпозитная,,
СТ 10 16 45 30,,,,Труба базальтокомпозитная,,
СТ 10 16 50,,,Полимерные,,,
СТ 10 16 50 10,,,,Полиэтилен (PE),,
СТ 10 16 50 10 10,,,,,Полиэтилен (PEX),
СТ 10 16 50 20,,,,Поливинилхлорид (PVC),,
СТ 10 16 50 30,,,,Полипропилен (PP),,
СТ 10 16 50 40,,,,Полиамид (ПА),,
СТ 10 16 50 50,,,,Полибутилен (PB),,
СТ 10 16 55,,,Металлопластик,,,
СТ 10 16 60,,,"Подводка гибкая из вулканизированной резины, пластмассы, стали",,,
